"DayDate","Temp","Desc"
"<span class=""DailyContent--daypartDate--3MM0J"">Fri 18</span>","<span data-testid=""TemperatureValue"" class=""DailyContent--temp--_8DL5"">58°</span>","<p data-testid=""wxPhrase"" class=""DailyContent--narrative--3AcXd"">Intervals of clouds and sunshine. High 58F. Winds NNW at 5 to 10 mph.</p>"
"<span class=""DailyContent--daypartDate--3MM0J"">Fri 18</span>","<span data-testid=""TemperatureValue"" class=""DailyContent--temp--_8DL5"">44°</span>","<p data-testid=""wxPhrase"" class=""DailyContent--narrative--3AcXd"">Cloudy with occasional showers. Low 44F. Winds light and variable. Chance of rain 40%.</p>"
"<span class=""DailyContent--daypartDate--3MM0J"">Sat 19</span>","<span data-testid=""TemperatureValue"" class=""DailyContent--temp--_8DL5"">59°</span>","<p data-testid=""wxPhrase"" class=""DailyContent--narrative--3AcXd"">Showers in the morning with some clearing in the afternoon. High 59F. Winds NW at 5 to 10 mph. Chance of rain 40%.</p>"
"<span class=""DailyContent--daypartDate--3MM0J"">Sat 19</span>","<span data-testid=""TemperatureValue"" class=""DailyContent--temp--_8DL5"">43°</span>","<p data-testid=""wxPhrase"" class=""DailyContent--narrative--3AcXd"">Cloudy with showers. Low 43F. Winds light and variable. Chance of rain 50%.</p>"
"<span class=""DailyContent--daypartDate--3MM0J"">Sun 20</span>","<span data-testid=""TemperatureValue"" class=""DailyContent--temp--_8DL5"">59°</span>","<p data-testid=""wxPhrase"" class=""DailyContent--narrative--3AcXd"">Rain showers early with some sunshine later in the day. High 59F. Winds NW at 5 to 10 mph. Chance of rain 30%.</p>"
"<span class=""DailyContent--daypartDate--3MM0J"">Sun 20</span>","<span data-testid=""TemperatureValue"" class=""DailyContent--temp--_8DL5"">42°</span>","<p data-testid=""wxPhrase"" class=""DailyContent--narrative--3AcXd"">Partly cloudy skies early followed by mostly cloudy skies and a few showers later at night. Low 42F. Winds light and variable. Chance of rain 30%.</p>"
"<span class=""DailyContent--daypartDate--3MM0J"">Mon 21</span>","<span data-testid=""TemperatureValue"" class=""DailyContent--temp--_8DL5"">59°</span>","<p data-testid=""wxPhrase"" class=""DailyContent--narrative--3AcXd"">A shower or two around the area in the morning, then partly cloudy in the afternoon. High 59F. Winds NNW at 5 to 10 mph. Chance of rain 30%.</p>"
"<span class=""DailyContent--daypartDate--3MM0J"">Mon 21</span>","<span data-testid=""TemperatureValue"" class=""DailyContent--temp--_8DL5"">42°</span>","<p data-testid=""wxPhrase"" class=""DailyContent--narrative--3AcXd"">Partly cloudy skies during the evening will give way to cloudy skies overnight. Low 42F. Winds NNW at 5 to 10 mph.</p>"
"<span class=""DailyContent--daypartDate--3MM0J"">Tue 22</span>","<span data-testid=""TemperatureValue"" class=""DailyContent--temp--_8DL5"">59°</span>","<p data-testid=""wxPhrase"" class=""DailyContent--narrative--3AcXd"">Partly cloudy. High 59F. Winds NNW at 5 to 10 mph.</p>"
"<span class=""DailyContent--daypartDate--3MM0J"">Tue 22</span>","<span data-testid=""TemperatureValue"" class=""DailyContent--temp--_8DL5"">41°</span>","<p data-testid=""wxPhrase"" class=""DailyContent--narrative--3AcXd"">Mostly clear evening skies will give way to mostly cloudy skies overnight. Low 41F. Winds NNW at 5 to 10 mph.</p>"
