"Movie_Name","Field1_Link","Time","Genre","Year","Rating","Description","Director","Field6_Link","Actor","Field7_Link","Field8_Link","Field9_Link","Field10_Link"
"Apocalypse Now","https://www.imdb.com/title/tt0078788/?ref_=adv_li_tt","147 min","Drama, Mystery, War","(1979)","8.4","A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.","Francis Ford Coppola","https://www.imdb.com/name/nm0000338/?ref_=adv_li_dr_0","Frederic Forrest","https://www.imdb.com/name/nm0000640/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0000008/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0000380/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0002078/?ref_=adv_li_st_3"
"Alien","https://www.imdb.com/title/tt0078748/?ref_=adv_li_tt","117 min","Horror, Sci-Fi","(1979)","8.4","After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.","Ridley Scott","https://www.imdb.com/name/nm0000631/?ref_=adv_li_dr_0","Veronica Cartwright","https://www.imdb.com/name/nm0000244/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0000643/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0000457/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0001021/?ref_=adv_li_st_3"
"Anand","https://www.imdb.com/title/tt0066763/?ref_=adv_li_tt","122 min","Drama, Musical","(1971)","8.4","The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.","Hrishikesh Mukherjee","https://www.imdb.com/name/nm0611531/?ref_=adv_li_dr_0","Ramesh Deo","https://www.imdb.com/name/nm0004435/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0000821/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0764407/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0219946/?ref_=adv_li_st_3"
"High and Low","https://www.imdb.com/title/tt0057565/?ref_=adv_li_tt","143 min","Crime, Drama, Mystery","(1963)","8.4","An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.","Akira Kurosawa","https://www.imdb.com/name/nm0000041/?ref_=adv_li_dr_0","Kyôko Kagawa","https://www.imdb.com/name/nm0001536/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0755403/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0619938/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0434593/?ref_=adv_li_st_3"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","https://www.imdb.com/title/tt0057012/?ref_=adv_li_tt","95 min","Comedy","(1964)","8.4","An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.","Stanley Kubrick","https://www.imdb.com/name/nm0000040/?ref_=adv_li_dr_0","Keenan Wynn","https://www.imdb.com/name/nm0000634/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0001715/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0001330/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0943978/?ref_=adv_li_st_3"
"Witness for the Prosecution","https://www.imdb.com/title/tt0051201/?ref_=adv_li_tt","116 min","Crime, Drama, Mystery","(1957)","8.4","A veteran British barrister must defend his client in a murder trial that has surprise after surprise.","Billy Wilder","https://www.imdb.com/name/nm0000697/?ref_=adv_li_dr_0","Elsa Lanchester","https://www.imdb.com/name/nm0000061/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0000017/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0001452/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0006471/?ref_=adv_li_st_3"
"Paths of Glory","https://www.imdb.com/title/tt0050825/?ref_=adv_li_tt","88 min","Drama, War","(1957)","8.4","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","Stanley Kubrick","https://www.imdb.com/name/nm0000040/?ref_=adv_li_dr_0","George Macready","https://www.imdb.com/name/nm0000018/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0576127/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0579663/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0534317/?ref_=adv_li_st_3"
"Rear Window","https://www.imdb.com/title/tt0047396/?ref_=adv_li_tt","112 min","Mystery, Thriller","(1954)","8.4","A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.","Alfred Hitchcock","https://www.imdb.com/name/nm0000033/?ref_=adv_li_dr_0","Thelma Ritter","https://www.imdb.com/name/nm0000071/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0000038/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0179819/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0728812/?ref_=adv_li_st_3"
"Sunset Blvd.","https://www.imdb.com/title/tt0043014/?ref_=adv_li_tt","110 min","Drama, Film-Noir","(1950)","8.4","A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.","Billy Wilder","https://www.imdb.com/name/nm0000697/?ref_=adv_li_dr_0","Nancy Olson","https://www.imdb.com/name/nm0000034/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0841797/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0002233/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0647970/?ref_=adv_li_st_3"
"The Great Dictator","https://www.imdb.com/title/tt0032553/?ref_=adv_li_tt","125 min","Comedy, Drama, War","(1940)","8.4","Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.","Charles Chaplin","https://www.imdb.com/name/nm0000122/?ref_=adv_li_dr_0","Reginald Gardiner","https://www.imdb.com/name/nm0000122/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0002104/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0642988/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0306786/?ref_=adv_li_st_3"
"1917","https://www.imdb.com/title/tt8579674/?ref_=adv_li_tt","119 min","Drama, War","(2019)","8.3","April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","Sam Mendes","https://www.imdb.com/name/nm0005222/?ref_=adv_li_dr_0","Colin Firth","https://www.imdb.com/name/nm2835616/?ref_=adv_li_st_0","https://www.imdb.com/name/nm1126657/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0990547/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0000147/?ref_=adv_li_st_3"
"Tumbbad","https://www.imdb.com/title/tt8239946/?ref_=adv_li_tt","104 min","Drama, Fantasy, Horror","(2018)","8.3","A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.","Rahi Anil Barve","https://www.imdb.com/name/nm9751348/?ref_=adv_li_dr_0","Jyoti Malshe","https://www.imdb.com/name/nm1628153/?ref_=adv_li_dr_1","https://www.imdb.com/name/nm4205110/?ref_=adv_li_dr_2","https://www.imdb.com/name/nm3630374/?ref_=adv_li_st_0","https://www.imdb.com/name/nm8375514/?ref_=adv_li_st_1"
"Andhadhun","https://www.imdb.com/title/tt8108198/?ref_=adv_li_tt","139 min","Crime, Drama, Music","(2018)","8.3","A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.","Sriram Raghavan","https://www.imdb.com/name/nm1437189/?ref_=adv_li_dr_0","Anil Dhawan","https://www.imdb.com/name/nm4731677/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0007102/?ref_=adv_li_st_1","https://www.imdb.com/name/nm2331000/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0223521/?ref_=adv_li_st_3"
"Drishyam","https://www.imdb.com/title/tt3417422/?ref_=adv_li_tt","160 min","Crime, Drama, Thriller","(2013)","8.3","A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.","Jeethu Joseph","https://www.imdb.com/name/nm2572228/?ref_=adv_li_dr_0","Ansiba","https://www.imdb.com/name/nm0482320/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0576169/?ref_=adv_li_st_1","https://www.imdb.com/name/nm5242011/?ref_=adv_li_st_2","https://www.imdb.com/name/nm6189602/?ref_=adv_li_st_3"
"The Hunt","https://www.imdb.com/title/tt2106476/?ref_=adv_li_tt","115 min","Drama","(2012)","8.3","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.","Thomas Vinterberg","https://www.imdb.com/name/nm0899121/?ref_=adv_li_dr_0","Lasse Fogelstrøm","https://www.imdb.com/name/nm0586568/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0488917/?ref_=adv_li_st_1","https://www.imdb.com/name/nm5038871/?ref_=adv_li_st_2","https://www.imdb.com/name/nm5039026/?ref_=adv_li_st_3"
