Title,Title_URL,listeritemindex,Year,Time,genre,Rating,Score,Content,Content_URL,Content1,Content_URL2,Content3,Content_URL4,Content5,Content_URL6,Content7,Content_URL8,Content9,Number10
Men in Black 2,https://www.imdb.com/title/tt0120912/?ref_=adv_li_tt,12.,(2002),88 min,"
Action, Adventure, Comedy            ","6,2","
49        
        Metascore
            ","
    Director:
Barry Sonnenfeld
                 | 
    Stars:
Tommy Lee Jones, 
Will Smith, 
Rip Torn, 
Lara Flynn Boyle
    ",https://www.imdb.com/name/nm0001756/?ref_=adv_li_dr_0,Barry Sonnenfeld,https://www.imdb.com/name/nm0000169/?ref_=adv_li_st_0,Tommy Lee Jones,https://www.imdb.com/name/nm0000226/?ref_=adv_li_st_1,Will Smith,https://www.imdb.com/name/nm0001800/?ref_=adv_li_st_2,Rip Torn,https://www.imdb.com/name/nm0001223/?ref_=adv_li_st_3,Lara Flynn Boyle,$190.42M
Was Frauen wollen,https://www.imdb.com/title/tt0207201/?ref_=adv_li_tt,13.,(2000),127 min,"
Comedy, Fantasy, Romance            ","6,4","
47        
        Metascore
            ","
    Director:
Nancy Meyers
                 | 
    Stars:
Mel Gibson, 
Helen Hunt, 
Marisa Tomei, 
Alan Alda
    ",https://www.imdb.com/name/nm0583600/?ref_=adv_li_dr_0,Nancy Meyers,https://www.imdb.com/name/nm0000154/?ref_=adv_li_st_0,Mel Gibson,https://www.imdb.com/name/nm0000166/?ref_=adv_li_st_1,Helen Hunt,https://www.imdb.com/name/nm0000673/?ref_=adv_li_st_2,Marisa Tomei,https://www.imdb.com/name/nm0000257/?ref_=adv_li_st_3,Alan Alda,$182.81M
Madagascar 2,https://www.imdb.com/title/tt0479952/?ref_=adv_li_tt,14.,(2008),89 min,"
Animation, Adventure, Comedy            ","6,6","
61        
        Metascore
            ","
    Directors:
Eric Darnell, 
Tom McGrath
                 | 
    Stars:
Ben Stiller, 
Chris Rock, 
David Schwimmer, 
Jada Pinkett Smith
    ",https://www.imdb.com/name/nm0201509/?ref_=adv_li_dr_0,Eric Darnell,https://www.imdb.com/name/nm0569891/?ref_=adv_li_dr_1,Tom McGrath,https://www.imdb.com/name/nm0001774/?ref_=adv_li_st_0,Ben Stiller,https://www.imdb.com/name/nm0001674/?ref_=adv_li_st_1,Chris Rock,https://www.imdb.com/name/nm0001710/?ref_=adv_li_st_2,David Schwimmer,$180.01M
Crocodile Dundee - Ein Krokodil zum Küssen,https://www.imdb.com/title/tt0090555/?ref_=adv_li_tt,15.,(1986),97 min,"
Action, Adventure, Comedy            ","6,6","
62        
        Metascore
            ","
    Director:
Peter Faiman
                 | 
    Stars:
Paul Hogan, 
Linda Kozlowski, 
John Meillon, 
David Gulpilil
    ",https://www.imdb.com/name/nm0265363/?ref_=adv_li_dr_0,Peter Faiman,https://www.imdb.com/name/nm0001357/?ref_=adv_li_st_0,Paul Hogan,https://www.imdb.com/name/nm0468957/?ref_=adv_li_st_1,Linda Kozlowski,https://www.imdb.com/name/nm0576851/?ref_=adv_li_st_2,John Meillon,https://www.imdb.com/name/nm0347858/?ref_=adv_li_st_3,David Gulpilil,$174.64M
Brautalarm,https://www.imdb.com/title/tt1478338/?ref_=adv_li_tt,16.,(I) (2011),125 min,"
Comedy, Romance            ","6,8","
75        
        Metascore
            ","
    Director:
Paul Feig
                 | 
    Stars:
Kristen Wiig, 
Maya Rudolph, 
Rose Byrne, 
Terry Crews
    ",https://www.imdb.com/name/nm0082450/?ref_=adv_li_dr_0,Paul Feig,https://www.imdb.com/name/nm1325419/?ref_=adv_li_st_0,Kristen Wiig,https://www.imdb.com/name/nm0748973/?ref_=adv_li_st_1,Maya Rudolph,https://www.imdb.com/name/nm0126284/?ref_=adv_li_st_2,Rose Byrne,https://www.imdb.com/name/nm0187719/?ref_=adv_li_st_3,Terry Crews,$169.11M
Kung Fu Panda 2,https://www.imdb.com/title/tt1302011/?ref_=adv_li_tt,17.,(2011),90 min,"
Animation, Action, Adventure            ","7,2","
67        
        Metascore
            ","
    Director:
Jennifer Yuh Nelson
                 | 
    Stars:
Jack Black, 
Angelina Jolie, 
Jackie Chan, 
Dustin Hoffman
    ",https://www.imdb.com/name/nm0950775/?ref_=adv_li_dr_0,Jennifer Yuh Nelson,https://www.imdb.com/name/nm0085312/?ref_=adv_li_st_0,Jack Black,https://www.imdb.com/name/nm0001401/?ref_=adv_li_st_1,Angelina Jolie,https://www.imdb.com/name/nm0000329/?ref_=adv_li_st_2,Jackie Chan,https://www.imdb.com/name/nm0000163/?ref_=adv_li_st_3,Dustin Hoffman,$165.25M
Big Daddy,https://www.imdb.com/title/tt0142342/?ref_=adv_li_tt,18.,(1999),93 min,"
Comedy, Drama            ","6,4","
41        
        Metascore
            ","
    Director:
Dennis Dugan
                 | 
    Stars:
Adam Sandler, 
Joey Lauren Adams, 
Jon Stewart, 
Cole Sprouse
    ",https://www.imdb.com/name/nm0240797/?ref_=adv_li_dr_0,Dennis Dugan,https://www.imdb.com/name/nm0001191/?ref_=adv_li_st_0,Adam Sandler,https://www.imdb.com/name/nm0000725/?ref_=adv_li_st_1,Joey Lauren Adams,https://www.imdb.com/name/nm0829537/?ref_=adv_li_st_2,Jon Stewart,https://www.imdb.com/name/nm0819850/?ref_=adv_li_st_3,Cole Sprouse,$163.48M
SpongeBob Schwammkopf: Schwamm aus dem Wasser,https://www.imdb.com/title/tt2279373/?ref_=adv_li_tt,19.,(2015),92 min,"
Animation, Action, Adventure            ","6,0","
62        
        Metascore
            ","
    Directors:
Paul Tibbitt, 
Mike Mitchell
                 | 
    Stars:
Tom Kenny, 
Antonio Banderas, 
Bill Fagerbakke, 
Clancy Brown
    ",https://www.imdb.com/name/nm1196684/?ref_=adv_li_dr_0,Paul Tibbitt,https://www.imdb.com/name/nm0593610/?ref_=adv_li_dr_1,Mike Mitchell,https://www.imdb.com/name/nm0444786/?ref_=adv_li_st_0,Tom Kenny,https://www.imdb.com/name/nm0000104/?ref_=adv_li_st_1,Antonio Banderas,https://www.imdb.com/name/nm0265067/?ref_=adv_li_st_2,Bill Fagerbakke,$162.99M
Taffe Mädels,https://www.imdb.com/title/tt2404463/?ref_=adv_li_tt,20.,(I) (2013),117 min,"
Action, Comedy, Crime            ","6,6","
60        
        Metascore
            ","
    Director:
Paul Feig
                 | 
    Stars:
Sandra Bullock, 
Michael McDonald, 
Melissa McCarthy, 
Demián Bichir
    ",https://www.imdb.com/name/nm0082450/?ref_=adv_li_dr_0,Paul Feig,https://www.imdb.com/name/nm0000113/?ref_=adv_li_st_0,Sandra Bullock,https://www.imdb.com/name/nm0567912/?ref_=adv_li_st_1,Michael McDonald,https://www.imdb.com/name/nm0565250/?ref_=adv_li_st_2,Melissa McCarthy,https://www.imdb.com/name/nm0065007/?ref_=adv_li_st_3,Demián Bichir,$159.58M
Spiel ohne Regeln,https://www.imdb.com/title/tt0398165/?ref_=adv_li_tt,21.,(2005),113 min,"
Comedy, Crime, Sport            ","6,4","
48        
        Metascore
            ","
    Director:
Peter Segal
                 | 
    Stars:
Adam Sandler, 
Burt Reynolds, 
Chris Rock, 
Nelly
    ",https://www.imdb.com/name/nm0781842/?ref_=adv_li_dr_0,Peter Segal,https://www.imdb.com/name/nm0001191/?ref_=adv_li_st_0,Adam Sandler,https://www.imdb.com/name/nm0000608/?ref_=adv_li_st_1,Burt Reynolds,https://www.imdb.com/name/nm0001674/?ref_=adv_li_st_2,Chris Rock,https://www.imdb.com/name/nm0625099/?ref_=adv_li_st_3,Nelly,$158.12M
