Title,Title_URL,listeritemindex,Year,Time,genre,Rating,Score,Content,Content_URL,Content1,Content_URL2,Content3,Content_URL4,Content5,Content_URL6,Content7,Content_URL8,Content9,Number10
Der Prinz aus Zamunda,https://www.imdb.com/title/tt0094898/?ref_=adv_li_tt,32.,(1988),116 min,"
Comedy, Romance            ","7,0","
47        
        Metascore
            ","
    Director:
John Landis
                 | 
    Stars:
Eddie Murphy, 
Paul Bates, 
Garcelle Beauvais, 
Feather
    ",https://www.imdb.com/name/nm0000484/?ref_=adv_li_dr_0,John Landis,https://www.imdb.com/name/nm0000552/?ref_=adv_li_st_0,Eddie Murphy,https://www.imdb.com/name/nm0061003/?ref_=adv_li_st_1,Paul Bates,https://www.imdb.com/name/nm0004731/?ref_=adv_li_st_2,Garcelle Beauvais,https://www.imdb.com/name/nm0269936/?ref_=adv_li_st_3,Feather,$128.15M
Anchorman - Die Legende kehrt zurück,https://www.imdb.com/title/tt1229340/?ref_=adv_li_tt,33.,(2013),119 min,"
Comedy            ","6,3","
61        
        Metascore
            ","
    Director:
Adam McKay
                 | 
    Stars:
Will Ferrell, 
Christina Applegate, 
Paul Rudd, 
Steve Carell
    ",https://www.imdb.com/name/nm0570912/?ref_=adv_li_dr_0,Adam McKay,https://www.imdb.com/name/nm0002071/?ref_=adv_li_st_0,Will Ferrell,https://www.imdb.com/name/nm0000775/?ref_=adv_li_st_1,Christina Applegate,https://www.imdb.com/name/nm0748620/?ref_=adv_li_st_2,Paul Rudd,https://www.imdb.com/name/nm0136797/?ref_=adv_li_st_3,Steve Carell,$127.35M
Bee Movie - Das Honigkomplott,https://www.imdb.com/title/tt0389790/?ref_=adv_li_tt,34.,(2007),91 min,"
Animation, Adventure, Comedy            ","6,1","
54        
        Metascore
            ","
    Directors:
Simon J. Smith, 
Steve Hickner
                 | 
    Stars:
Jerry Seinfeld, 
Renée Zellweger, 
Matthew Broderick, 
Patrick Warburton
    ",https://www.imdb.com/name/nm0971239/?ref_=adv_li_dr_0,Simon J. Smith,https://www.imdb.com/name/nm9054338/?ref_=adv_li_dr_1,Steve Hickner,https://www.imdb.com/name/nm0000632/?ref_=adv_li_st_0,Jerry Seinfeld,https://www.imdb.com/name/nm0000250/?ref_=adv_li_st_1,Renée Zellweger,https://www.imdb.com/name/nm0000111/?ref_=adv_li_st_2,Matthew Broderick,$126.63M
Die Truman Show,https://www.imdb.com/title/tt0120382/?ref_=adv_li_tt,35.,(1998),103 min,"
Comedy, Drama, Sci-Fi            ","8,1","
90        
        Metascore
            ","
    Director:
Peter Weir
                 | 
    Stars:
Jim Carrey, 
Ed Harris, 
Laura Linney, 
Noah Emmerich
    ",https://www.imdb.com/name/nm0001837/?ref_=adv_li_dr_0,Peter Weir,https://www.imdb.com/name/nm0000120/?ref_=adv_li_st_0,Jim Carrey,https://www.imdb.com/name/nm0000438/?ref_=adv_li_st_1,Ed Harris,https://www.imdb.com/name/nm0001473/?ref_=adv_li_st_2,Laura Linney,https://www.imdb.com/name/nm0001187/?ref_=adv_li_st_3,Noah Emmerich,$125.62M
Rango,https://www.imdb.com/title/tt1192628/?ref_=adv_li_tt,36.,(2011),107 min,"
Animation, Adventure, Comedy            ","7,2","
75        
        Metascore
            ","
    Director:
Gore Verbinski
                 | 
    Stars:
Johnny Depp, 
Isla Fisher, 
Timothy Olyphant, 
Abigail Breslin
    ",https://www.imdb.com/name/nm0893659/?ref_=adv_li_dr_0,Gore Verbinski,https://www.imdb.com/name/nm0000136/?ref_=adv_li_st_0,Johnny Depp,https://www.imdb.com/name/nm0279545/?ref_=adv_li_st_1,Isla Fisher,https://www.imdb.com/name/nm0648249/?ref_=adv_li_st_2,Timothy Olyphant,https://www.imdb.com/name/nm1113550/?ref_=adv_li_st_3,Abigail Breslin,$123.48M
Wayne's World,https://www.imdb.com/title/tt0105793/?ref_=adv_li_tt,37.,(1992),94 min,"
Comedy, Music            ","7,0","
57        
        Metascore
            ","
    Director:
Penelope Spheeris
                 | 
    Stars:
Mike Myers, 
Dana Carvey, 
Rob Lowe, 
Tia Carrere
    ",https://www.imdb.com/name/nm0790715/?ref_=adv_li_dr_0,Penelope Spheeris,https://www.imdb.com/name/nm0000196/?ref_=adv_li_st_0,Mike Myers,https://www.imdb.com/name/nm0001022/?ref_=adv_li_st_1,Dana Carvey,https://www.imdb.com/name/nm0000507/?ref_=adv_li_st_2,Rob Lowe,https://www.imdb.com/name/nm0000119/?ref_=adv_li_st_3,Tia Carrere,$121.70M
Lemony Snicket - Rätselhafte Ereignisse,https://www.imdb.com/title/tt0339291/?ref_=adv_li_tt,38.,(2004),108 min,"
Adventure, Comedy, Family            ","6,8","
62        
        Metascore
            ","
    Director:
Brad Silberling
                 | 
    Stars:
Jim Carrey, 
Jude Law, 
Meryl Streep, 
Liam Aiken
    ",https://www.imdb.com/name/nm0797869/?ref_=adv_li_dr_0,Brad Silberling,https://www.imdb.com/name/nm0000120/?ref_=adv_li_st_0,Jim Carrey,https://www.imdb.com/name/nm0000179/?ref_=adv_li_st_1,Jude Law,https://www.imdb.com/name/nm0000658/?ref_=adv_li_st_2,Meryl Streep,https://www.imdb.com/name/nm0014582/?ref_=adv_li_st_3,Liam Aiken,$118.63M
Die Eisprinzen,https://www.imdb.com/title/tt0445934/?ref_=adv_li_tt,39.,(2007),93 min,"
Comedy, Sport            ","6,3","
64        
        Metascore
            ","
    Directors:
Josh Gordon, 
Will Speck
                 | 
    Stars:
Will Ferrell, 
Jon Heder, 
Amy Poehler, 
Will Arnett
    ",https://www.imdb.com/name/nm0330347/?ref_=adv_li_dr_0,Josh Gordon,https://www.imdb.com/name/nm0817447/?ref_=adv_li_dr_1,Will Speck,https://www.imdb.com/name/nm0002071/?ref_=adv_li_st_0,Will Ferrell,https://www.imdb.com/name/nm1417647/?ref_=adv_li_st_1,Jon Heder,https://www.imdb.com/name/nm0688132/?ref_=adv_li_st_2,Amy Poehler,$118.59M
Zurück in die Zukunft II,https://www.imdb.com/title/tt0096874/?ref_=adv_li_tt,40.,(1989),108 min,"
Adventure, Comedy, Sci-Fi            ","7,8","
57        
        Metascore
            ","
    Director:
Robert Zemeckis
                 | 
    Stars:
Michael J. Fox, 
Christopher Lloyd, 
Lea Thompson, 
Thomas F. Wilson
    ",https://www.imdb.com/name/nm0000709/?ref_=adv_li_dr_0,Robert Zemeckis,https://www.imdb.com/name/nm0000150/?ref_=adv_li_st_0,Michael J. Fox,https://www.imdb.com/name/nm0000502/?ref_=adv_li_st_1,Christopher Lloyd,https://www.imdb.com/name/nm0000670/?ref_=adv_li_st_2,Lea Thompson,https://www.imdb.com/name/nm0001855/?ref_=adv_li_st_3,Thomas F. Wilson,$118.50M
Die Addams Family,https://www.imdb.com/title/tt0101272/?ref_=adv_li_tt,41.,(1991),99 min,"
Comedy, Fantasy            ","6,9","
57        
        Metascore
            ","
    Director:
Barry Sonnenfeld
                 | 
    Stars:
Anjelica Huston, 
Raul Julia, 
Christopher Lloyd, 
Dan Hedaya
    ",https://www.imdb.com/name/nm0001756/?ref_=adv_li_dr_0,Barry Sonnenfeld,https://www.imdb.com/name/nm0001378/?ref_=adv_li_st_0,Anjelica Huston,https://www.imdb.com/name/nm0000471/?ref_=adv_li_st_1,Raul Julia,https://www.imdb.com/name/nm0000502/?ref_=adv_li_st_2,Christopher Lloyd,https://www.imdb.com/name/nm0000445/?ref_=adv_li_st_3,Dan Hedaya,$113.50M
Der Babynator,https://www.imdb.com/title/tt0395699/?ref_=adv_li_tt,42.,(2005),95 min,"
Action, Comedy, Drama            ","5,6","
30        
        Metascore
            ","
    Director:
Adam Shankman
                 | 
    Stars:
Vin Diesel, 
Brittany Snow, 
Max Thieriot, 
Brad Garrett
    ",https://www.imdb.com/name/nm0788202/?ref_=adv_li_dr_0,Adam Shankman,https://www.imdb.com/name/nm0004874/?ref_=adv_li_st_0,Vin Diesel,https://www.imdb.com/name/nm0811242/?ref_=adv_li_st_1,Brittany Snow,https://www.imdb.com/name/nm1302735/?ref_=adv_li_st_2,Max Thieriot,https://www.imdb.com/name/nm0004951/?ref_=adv_li_st_3,Brad Garrett,$113.09M
Tropic Thunder,https://www.imdb.com/title/tt0942385/?ref_=adv_li_tt,43.,(2008),107 min,"
Action, Comedy, War            ","7,0","
71        
        Metascore
            ","
    Director:
Ben Stiller
                 | 
    Stars:
Ben Stiller, 
Jack Black, 
Robert Downey Jr., 
Jeff Kahn
    ",https://www.imdb.com/name/nm0001774/?ref_=adv_li_dr_0,Ben Stiller,https://www.imdb.com/name/nm0001774/?ref_=adv_li_st_0,Ben Stiller,https://www.imdb.com/name/nm0085312/?ref_=adv_li_st_1,Jack Black,https://www.imdb.com/name/nm0000375/?ref_=adv_li_st_2,Robert Downey Jr.,https://www.imdb.com/name/nm0434854/?ref_=adv_li_st_3,Jeff Kahn,$110.52M
Valentinstag,https://www.imdb.com/title/tt0817230/?ref_=adv_li_tt,44.,(I) (2010),125 min,"
Comedy, Romance            ","5,7","
34        
        Metascore
            ","
    Director:
Garry Marshall
                 | 
    Stars:
Julia Roberts, 
Jamie Foxx, 
Anne Hathaway, 
Jessica Alba
    ",https://www.imdb.com/name/nm0005190/?ref_=adv_li_dr_0,Garry Marshall,https://www.imdb.com/name/nm0000210/?ref_=adv_li_st_0,Julia Roberts,https://www.imdb.com/name/nm0004937/?ref_=adv_li_st_1,Jamie Foxx,https://www.imdb.com/name/nm0004266/?ref_=adv_li_st_2,Anne Hathaway,https://www.imdb.com/name/nm0004695/?ref_=adv_li_st_3,Jessica Alba,$110.49M
Star Trek IV: Zurück in die Gegenwart,https://www.imdb.com/title/tt0092007/?ref_=adv_li_tt,45.,(1986),119 min,"
Adventure, Comedy, Sci-Fi            ","7,3","
71        
        Metascore
            ","
    Director:
Leonard Nimoy
                 | 
    Stars:
William Shatner, 
Leonard Nimoy, 
DeForest Kelley, 
James Doohan
    ",https://www.imdb.com/name/nm0000559/?ref_=adv_li_dr_0,Leonard Nimoy,https://www.imdb.com/name/nm0000638/?ref_=adv_li_st_0,William Shatner,https://www.imdb.com/name/nm0000559/?ref_=adv_li_st_1,Leonard Nimoy,https://www.imdb.com/name/nm0001420/?ref_=adv_li_st_2,DeForest Kelley,https://www.imdb.com/name/nm0001150/?ref_=adv_li_st_3,James Doohan,$109.71M
Crocodile Dundee 2,https://www.imdb.com/title/tt0092493/?ref_=adv_li_tt,46.,(1988),108 min,"
Action, Adventure, Comedy            ","5,7","
41        
        Metascore
            ","
    Director:
John Cornell
                 | 
    Stars:
Paul Hogan, 
Linda Kozlowski, 
John Meillon, 
Ernie Dingo
    ",https://www.imdb.com/name/nm0180257/?ref_=adv_li_dr_0,John Cornell,https://www.imdb.com/name/nm0001357/?ref_=adv_li_st_0,Paul Hogan,https://www.imdb.com/name/nm0468957/?ref_=adv_li_st_1,Linda Kozlowski,https://www.imdb.com/name/nm0576851/?ref_=adv_li_st_2,John Meillon,https://www.imdb.com/name/nm0227669/?ref_=adv_li_st_3,Ernie Dingo,$109.31M
Zeit der Zärtlichkeit,https://www.imdb.com/title/tt0086425/?ref_=adv_li_tt,47.,(1983),132 min,"
Comedy, Drama            ","7,4","
79        
        Metascore
            ","
    Director:
James L. Brooks
                 | 
    Stars:
Shirley MacLaine, 
Debra Winger, 
Jack Nicholson, 
Danny DeVito
    ",https://www.imdb.com/name/nm0000985/?ref_=adv_li_dr_0,James L. Brooks,https://www.imdb.com/name/nm0000511/?ref_=adv_li_st_0,Shirley MacLaine,https://www.imdb.com/name/nm0000700/?ref_=adv_li_st_1,Debra Winger,https://www.imdb.com/name/nm0000197/?ref_=adv_li_st_2,Jack Nicholson,https://www.imdb.com/name/nm0000362/?ref_=adv_li_st_3,Danny DeVito,$108.42M
Wie werde ich ihn los in 10 Tagen,https://www.imdb.com/title/tt0251127/?ref_=adv_li_tt,48.,(2003),116 min,"
Comedy, Romance            ","6,4","
45        
        Metascore
            ","
    Director:
Donald Petrie
                 | 
    Stars:
Kate Hudson, 
Matthew McConaughey, 
Adam Goldberg, 
Kathryn Hahn
    ",https://www.imdb.com/name/nm0677953/?ref_=adv_li_dr_0,Donald Petrie,https://www.imdb.com/name/nm0005028/?ref_=adv_li_st_0,Kate Hudson,https://www.imdb.com/name/nm0000190/?ref_=adv_li_st_1,Matthew McConaughey,https://www.imdb.com/name/nm0004965/?ref_=adv_li_st_2,Adam Goldberg,https://www.imdb.com/name/nm1063517/?ref_=adv_li_st_3,Kathryn Hahn,$105.81M
Der Club der Teufelinnen,https://www.imdb.com/title/tt0116313/?ref_=adv_li_tt,49.,(1996),103 min,"
Comedy            ","6,4","
58        
        Metascore
            ","
    Director:
Hugh Wilson
                 | 
    Stars:
Goldie Hawn, 
Bette Midler, 
Diane Keaton, 
Maggie Smith
    ",https://www.imdb.com/name/nm0933505/?ref_=adv_li_dr_0,Hugh Wilson,https://www.imdb.com/name/nm0000443/?ref_=adv_li_st_0,Goldie Hawn,https://www.imdb.com/name/nm0000541/?ref_=adv_li_st_1,Bette Midler,https://www.imdb.com/name/nm0000473/?ref_=adv_li_st_2,Diane Keaton,https://www.imdb.com/name/nm0001749/?ref_=adv_li_st_3,Maggie Smith,$105.49M
Der Kindergarten Daddy,https://www.imdb.com/title/tt0317303/?ref_=adv_li_tt,50.,(2003),92 min,"
Comedy, Family            ","5,6","
39        
        Metascore
            ","
    Director:
Steve Carr
                 | 
    Stars:
Eddie Murphy, 
Jeff Garlin, 
Anjelica Huston, 
Steve Zahn
    ",https://www.imdb.com/name/nm0139867/?ref_=adv_li_dr_0,Steve Carr,https://www.imdb.com/name/nm0000552/?ref_=adv_li_st_0,Eddie Murphy,https://www.imdb.com/name/nm0307531/?ref_=adv_li_st_1,Jeff Garlin,https://www.imdb.com/name/nm0001378/?ref_=adv_li_st_2,Anjelica Huston,https://www.imdb.com/name/nm0001872/?ref_=adv_li_st_3,Steve Zahn,$104.30M
